Sequence,Group,SCOP sunid
d1ioxa_,group365,57196
d1cd9b1,group79,49265
d1ggpa_,group340,56371
d1br9__,group62,50242
d1ekbb_,group126,50494
d1a8d_1,group55,49899
d1a8d_2,group63,50386
d1prtf_,group114,50203
d1que_2,group182,52343
d1que_1,group396,63380
d1p1ca_,group111,53335
d1gxea_,group46,48726
d1ccwa_,group90,52242
d1gnya_,group52,49785
d1d4ua2,group194,57716
d1epxa_,group81,51569
d1h03p2,group377,57535
d2mev3_,group419,88633
d2a0b__,group14,47226
d1bxda_,group319,55874
d1d2ra_,group92,52374
d1uapa_,group62,50242
d1jala2,group130,81271
d1cwva5,group175,56436
d1jida_,group406,69695
d1i50l_,group196,63393
d1ajsa_,group112,53383
d1gmya_,group242,54001
d1ft9a2,group78,51206
d1gska2,group92,49503
d1gska3,group92,49503
d1vdc_2,group167,51905
d4sgbi_,group186,57467
d1l5aa1,group98,52777
d1fsz_1,group188,52490
d1fsz_2,group295,55307
d1l5aa2,group98,52777
d1gxca_,group54,49879
d2ptd__,group164,51695
d1k3ba_,group70,75001
d1i7ka_,group262,54495
d1a59__,group64,48256
d3proc1,group141,54806
d1hlb__,group1,46458
d1a8l_1,group101,52833
d1a8l_2,group101,52833
d1kv7a1,group92,49503
d1dmza_,group54,49879
d1kv7a2,group49,49503
d1ubdc3,group383,57667
d1ez4a2,group339,56327
d1m4ra_,group27,47266
d1flma_,group65,50475
d1bf4a_,group58,54160
d2irfg_,group4,46785
d1a53__,group154,51366
d1k82a2,group416,81624
d1a8h_1,group28,47323
d1eyha_,group42,48464
d1c3d__,group40,48239
d1qd1a1,group142,55116
d1czya1,group94,49599
d1ekja_,group204,53056
d1eq3a_,group264,54534
d1myn__,group362,57095
d1fxd__,group278,54862
d1i8aa_,group46,49344
d1quwa_,group198,52833
d1jtka_,group239,53927
d1f74a_,group159,51569
d1tgxa_,group367,57302
d1dcja_,group145,64307
d1gsa_2,group166,56059
d1gsa_1,group93,52440
d1orsc_,group411,81324
d1ib8a1,group61,74942
d1ib8a2,group141,75420
d1bev3_,group419,88633
d3thia_,group120,53850
d1rmg__,group143,51126
d1bag_1,group73,51011
d1my7a_,group408,81296
d1bzya_,group212,53271
d1khia1,group58,50104
d1ii2a2,group405,68923
d1hev__,group360,57016
d1giqa2,group341,56399
d1itwa_,group223,53659
d1giqa1,group341,56399
d1h3la_,group425,88946
d1jj2f_,group147,55315
d1lgha_,group357,56918
d1e79d1,group50,47917
d7reqa1,group81,51703
d1e79d2,group127,50615
d1fzya_,group262,54495
d1qqp3_,group208,88633
d1g4ia_,group76,48619
d1uxy_1,group167,56176
d1tmy__,group176,52172
d1b63a1,group129,54211
d1b63a2,group161,55874
d1by1a_,group55,48065
d1jbga_,group6,46955
d1nf5b_,group113,53448
d1tyfa_,group87,52096
d1hs6a1,group42,48371
d1d3ba_,group61,50182
d1hdj__,group3,46565
d1qba_1,group408,81296
d7reqa2,group178,52242
d1mxma1,group61,50182
d1ryp2_,group169,56235
d1knya1,group14,81593
d1mrj__,group340,56371
d1urk_1,group365,57196
d1gu2a_,group3,46626
d1qpoa2,group137,54675
d1a8e__,group120,53850
d1hbnb2,group142,55088
d1lm8v_,group48,49468
d1c8ua1,group136,54637
d1c8ua2,group136,54637
d1lu9a1,group82,51735
d1lu9a2,group108,53223
d1e68a_,group33,47869
d1eq9a_,group126,50494
d1e5ba_,group47,49384
d1iml_2,group194,57716
d1cvja1,group283,54928
d1cvja2,group283,54928
d1tml__,group168,51989
d1ly2a2,group188,57535
d1ly2a1,group188,57535
d1dgtb3,group88,52113
d1hzzc_,group187,52467
d1ail__,group10,47060
d1stfi_,group132,54403
d1rpxa_,group154,51366
d1qqga2,group68,50729
d1qqga1,group68,50729
d1rlr_2,group84,51998
d1jli__,group16,47266
d1n88a_,group248,54189
d1n3ka_,group36,47986
d1koia_,group69,50814
d1j32a_,group215,53383
d2dora_,group155,51395
d1ffya2,group129,50677
d1eu1a1,group67,50692
d2gsq_1,group38,47616
d1ffya1,group17,47323
d1g25a_,group197,57850
d1qm9a1,group283,54928
d19hca_,group77,48695
d1k1ga_,group140,54791
d1kit_1,group55,49899
d1kit_2,group105,49899
d2cb5a_,group125,54001
d2dkb__,group215,53383
d2abk__,group58,48150
d1nw3a_,group111,53335
d1ocrb1,group92,49503
d1jhda1,group424,88697
d1h8ba_,group23,47473
d1jhda2,group92,52374
d1seta1,group2,46589
d1f8ra2,group131,54373
d1g2913,group118,50331
d1g2912,group191,52540
d1evha_,group131,50729
d1qgha_,group26,47240
d1g2914,group118,50331
d1ntva_,group68,50729
d1ftha_,group335,56214
d1ivwa3,group132,54416
d1ivwa2,group132,54416
d1ehia1,group186,52440
d1lnga_,group406,69695
d1lpba2,group180,57190
d1a5z_2,group339,56327
d1aapa_,group368,57362
d1ehia2,group332,56059
d1fl0a_,group62,50249
d1qe0a1,group104,52954
d1hava_,group66,50494
d1aln_1,group122,53927
d1fgja_,group45,48695
d1l1za2,group416,81624
d1ji4a_,group26,47240
d1b0aa2,group210,53223
d1l1za1,group13,46946
d1ocrm_,group207,81431
d1gwca1,group38,47616
d1lupa_,group361,57059
d1clia1,group147,55326
d1jfma_,group133,54452
d1exta1,group189,57586
d1a6bb_,group195,57756
d1ocrb2,group205,81464
d1pvc1_,group208,88633
d1m2xa_,group170,56281
d1h3fa2,group143,55174
d1pgva_,group170,52047
d1mun__,group38,48150
d1lx8a_,group6,46955
d1eema1,group26,47616
d1eema2,group198,52833
d1mkea1,group68,50729
d1an9a2,group257,54373
d2erl__,group9,47014
d1dq3a3,group154,55608
d1a8y_1,group101,52833
d1n62b2,group329,56003
d1k1aa_,group69,48403
d1mvha_,group418,82199
d1d2zb_,group36,47986
d1a8y_2,group101,52833
d1eaza_,group131,50729
d1dq3a2,group139,54786
d1k5wa_,group93,49562
d1qrea_,group77,51161
d1kxla_,group62,50249
d1i26a_,group361,57059
d1exja1,group14,46955
d1rlw__,group93,49562
d2eifa1,group110,50104
d1miob_,group235,53807
d1m5ya2,group134,54534
d1m5ya3,group264,54534
d1icha_,group36,47986
d1klpa_,group29,47336
d1a34a_,group422,88650
d1m2ra_,group333,56112
d1n7ka_,group159,51569
d1dlja1,group60,48179
d1oaoc_,group353,56821
d1h3qa_,group159,64356
d1ca1_1,group73,48537
d1wdcc_,group35,47473
d1hfua3,group92,49503
d1buda_,group303,55486
d1ei5a1,group70,50886
d1ei5a2,group70,50886
d1ei5a3,group346,56601
d1ktga_,group160,55811
d1fx0b2,group127,50615
d1g0oa_,group166,51735
d1ehkb2,group205,81464
d2drpa1,group192,57667
d1g6q1_,group214,53335
d1qqla_,group119,50353
d1gvea_,group156,51430
d1k8ma_,group79,51230
d1e1oa1,group62,50249
d1ee4a_,group68,48371
d1h6ua2,group171,52058
d1bh9a_,group12,47113
d1oxsc1,group118,50331
d1fa0a4,group409,81301
d1oxsc2,group191,52540
d1b56__,group133,50814
d1d1la_,group21,47413
d1jl9a_,group365,57196
d1hx2a_,group379,57567
d1h4ld_,group35,47954
d1mt0a_,group191,52540
d1jo5a_,group357,56918
d1lfda_,group130,54236
d2naca1,group82,51735
d2ahjb_,group58,50090
d2tnfa_,group102,49842
d1jboa_,group1,46458
d1dm9a_,group143,55174
d1buoa_,group138,54695
d1lkoa1,group15,47240
d1lkoa2,group196,57802
d1mooa_,group140,51069
d1a2pa_,group123,53933
d1tuba2,group147,55307
d1tuba1,group95,52490
d1a6ca2,group208,88633
d1ddba_,group178,56854
d1mn8a_,group32,47836
d1k4za_,group76,69340
d1aisb2,group52,47954
d1aisb1,group35,47954
d1ub3a_,group159,51569
d1m4la_,group107,53187
d1josa_,group141,89919
d1hwxa1,group166,51735
d1nvmb2,group149,55347
d1b43a1,group46,47807
d1ji1a3,group157,51445
d1ji1a2,group73,51011
d1ji1a1,group46,81296
d1e5da1,group90,52218
d1am9a_,group34,47459
d1d7ya3,group150,55424
d1d7ya2,group167,51905
d1fltv_,group187,57501
d2cpl__,group134,50891
d1e5da2,group170,56281
d1b0na2,group21,47413
d7fd1a_,group278,54862
d1njfa_,group191,52540
d1p3ha_,group59,50129
d1lw9a_,group124,53955
d1onea2,group277,54826
d1onea1,group160,51604
d1ilr1_,group119,50353
d2nlra_,group55,49899
d1qb7a_,group212,53271
d1lopa_,group134,50891
d1aokb_,group76,48619
d1a32__,group10,47060
d1ek4a2,group238,53901
d1ek4a1,group238,53901
d1e9ia1,group160,51604
d1mk4a_,group157,55729
d1eysc_,group77,48695
d1hyp__,group30,47699
d1ycc__,group6,46626
d1aqt_1,group2,46604
d1jl1a_,group106,53098
d1e2wa2,group79,51246
d1ucsa_,group80,51269
d1fb6a_,group198,52833
d1l9la_,group33,47862
d1fxra_,group278,54862
d1kbla2,group85,52009
d1kbla3,group166,56059
d1kbla1,group81,51621
d1aqe__,group77,48695
d1k9ja_,group343,56436
d1fjgi_,group129,54211
d1nyta2,group108,53223
d1ptq__,group199,57889
d1hz8a1,group365,57196
d1mg2d_,group3,46626
d1alva_,group35,47473
d1ddla_,group208,88633
d1e8ua_,group71,50939
d1jo8a_,group108,50044
d1cr5a1,group130,50692
d1eixa_,group154,51366
d1kf6a1,group16,46977
d1aoza3,group92,49503
d1aoza2,group92,49503
d1hpi__,group382,57652
d1deeg_,group8,46997
d1e1aa_,group71,63829
d1kewa_,group166,51735
d1stu__,group274,54768
d1feza_,group177,56784
d1crza2,group104,52964
d1hqta_,group156,51430
d1qm9a2,group283,54928
d1duga1,group38,47616
d1fx5a_,group105,49899
d1ot5a1,group52,49785
d1jb0c_,group278,54862
d1ocva_,group260,54427
d1dmc__,group198,57868
d1ifc__,group69,50814
d2hts__,group4,46785
d1ls1a1,group14,47364
d1fdr_2,group91,52343
d1ezga_,group76,51156
d1tx4a_,group41,48350
d1li1a2,group343,56436
d1kywa2,group214,53335
d1hfoa_,group297,55331
d1ocre_,group42,48479
d1opja_,group333,56112
d1gula1,group38,47616
d1uasa1,group73,51011
d1hv2a_,group271,54695
d1obba1,group82,51735
d1elka_,group42,48464
d1moq__,group227,53697
d1om2a_,group13,47157
d1f52a1,group130,54368
d1f52a2,group323,55931
d2e2aa_,group7,46973
d1jdra_,group57,48113
d1bvp12,group100,49818
d1hyka_,group180,57055
d1axn__,group49,47874
d1kppa_,group262,54495
d1jj2e1,group331,56053
d1qyp__,group388,57783
d1csei_,group268,54654
d1rfnb_,group365,57196
d1hh2p2,group276,54814
d1i5ea_,group212,53271
d1h0hb_,group142,54862
d1rypl_,group169,56235
d2mhr__,group14,47188
d1gw0a1,group92,49503
d1gw0a3,group92,49503
d1gw0a2,group92,49503
d1ldna2,group339,56327
d1svpa_,group66,50494
d1iuaa_,group191,57652
d1l2pa_,group207,81573
d1hsja1,group10,46785
d1jd5a_,group395,57924
d1jb0m_,group207,81548
d1n69a_,group33,47862
d1fe0a_,group285,55008
d1gm5a1,group19,69008
d1ahsa_,group53,49818
d1t7pa1,group106,53098
d2spca_,group7,46966
d1e0ta1,group132,50800
d1ehkc_,group207,81473
d1bqba_,group303,55486
d1nira1,group6,46626
d1ryp1_,group169,56235
d1k4cc_,group411,81324
d1atg__,group120,53850
d1io2a_,group106,53098
d1eexb_,group104,52968
d1wdcb_,group35,47473
d1tf3a3,group192,57667
d1kkca2,group273,54719
d1eno__,group166,51735
d1jnda2,group134,54556
d1lo7a_,group136,54637
d1tf3a1,group192,57667
d1dd5a_,group291,55194
d2bat__,group136,50939
d1n62c1,group150,55447
d1ig8a2,group205,53067
d1ig8a1,group205,53067
d1io7a_,group65,48264
d1dbfa_,group294,55298
d2ucz__,group262,54495
d3vub__,group58,50118
d1fu9a_,group192,57667
d1gzca_,group105,49899
d1i1ra1,group79,49265
d1moga_,group209,89807
d1j9ia_,group6,46955
d1jq4a_,group254,54292
d3ygsp_,group36,47986
d1m7ga_,group97,52540
d1l3sa1,group106,53098
d1cxc__,group6,46626
d1e4ea2,group332,56059
d1i0za2,group339,56327
d1bd8__,group69,48403
d1kbia2,group318,55856
d2pela_,group105,49899
d1kmma1,group202,52954
d1n62a1,group43,47741
d1n62a2,group130,54292
d1nj1a2,group145,64586
d1a6ca1,group208,88633
d1kzla2,group64,63380
d1f0ka_,group232,53756
d1cz4a1,group67,50692
d1iyha1,group26,47616
d2glia4,group192,57667
d1b3aa_,group245,54117
d1who__,group50,49590
d2sqca2,group40,48239
d1gpza2,group377,57535
d1m2vb1,group34,81811
d1c0pa2,group131,54373
d1m0wa1,group93,52440
d1ayg__,group3,46626
d1e6ua_,group82,51735
d1klfb1,group47,49401
d1fjgb_,group90,52313
d1mfoa_,group346,56601
d1ekfa_,group351,56752
d1isaa2,group273,54719
d1edza2,group108,53223
d1jfib_,group22,47113
d1pb6a1,group7,46689
d1fx0a1,group50,47917
d1d6ta_,group250,54211
d1gh6a_,group2,46565
d1qo0d_,group90,52172
d1c07a_,group35,47473
d1m06g_,group420,88645
d1dvpa1,group71,48464
d1dvpa2,group394,57903
d1dj0a1,group289,55120
d2oata_,group215,53383
d1bsg__,group346,56601
d1dj0a2,group142,55120
d1cbua_,group97,52540
d1gdna_,group66,50494
d1bn7a_,group217,53474
d1ex2a_,group104,52972
d1mil__,group305,55550
d3pmga1,group230,53738
d1aln_2,group122,53927
d1dgwa_,group78,51182
d1mxra_,group15,47240
d1prtd_,group114,50203
d1bwvs_,group292,55239
d1e5ea_,group215,53383
d1kvka2,group142,55060
d1gesa2,group167,51905
d1k5ca_,group76,51126
d1e4ta_,group183,57392
d1k7ha_,group222,53649
d1iyka2,group157,55729
d1h8pa2,group373,57440
d1h8pa1,group185,57440
d1iyka1,group157,55729
d1d5ta2,group131,54373
d1kx5c_,group12,47113
d1lvl_2,group167,51905
d1k9xa_,group152,55486
d1jpma1,group160,51604
d1jpma2,group277,54826
d1k2fa_,group94,49599
d3pyp__,group159,55785
d1p4ta_,group179,56925
d1bhda_,group36,47576
d1bhga2,group52,49785
d1bhga1,group80,49303
d1hd2a_,group101,52833
d1afj__,group285,55008
d1n0ua1,group64,50447
d1g87a1,group61,48208
d1n0ua3,group129,54211
d1n0ua4,group284,54980
d1es5a_,group346,56601
d1qb5d_,group114,50203
d1lv3a_,group194,57716
d1c7ka_,group152,55486
d1jgsa_,group10,46785
d1e9xa_,group65,48264
d1bpoa1,group68,48371
d2bb2_2,group95,49695
d1lki__,group16,47266
d2bb2_1,group95,49695
d3sil__,group71,50939
d1eqfa2,group32,47370
d1dqza_,group114,53474
d1fzda_,group344,56496
d1btn__,group68,50729
d1lvfa_,group28,47661
d1d8ua_,group1,46458
d1lbqa_,group234,53800
d1qsaa1,group42,48435
d1qu6a1,group274,54768
d1ovma3,group190,52518
d1ovma2,group190,52518
d1ovma1,group187,52467
d1mxta2,group131,54373
d1m9sa3,group58,82057
d1prtb1,group114,50203
d1dj3a_,group191,52540
d1oaa__,group166,51735
d1kmta_,group46,81296
d1imja_,group114,53474
d1l6pa_,group46,74863
d1dqia_,group46,49367
d1qpxa2,group50,49584
d1b00a_,group176,52172
d1qhba_,group66,48317
d1csn__,group333,56112
d1byqa_,group161,55874
d1ge9a_,group291,55194
d1dv8a_,group343,56436
d1dhs__,group94,52467
d1an4a_,group34,47459
d1lam_2,group107,53187
d1lam_1,group103,52949
d1h0oa_,group26,47240
d1fs7a_,group45,48695
d1ee8a2,group416,81624
d1bh9b_,group12,47113
d1af7_2,group111,53335
d1d5ra2,group100,52799
d1cxzb_,group2,46585
d1jnrb_,group142,54862
d1guqa2,group128,54197
d1guqa1,group128,54197
d1iqza_,group278,54862
d1g8kb_,group106,50022
d1l5ja2,group85,52016
d1h3ia2,group80,82199
d1l1qa_,group212,53271
d1bf0__,group368,57362
d1kf6b1,group2,46548
d1nlbh1,group78,48726
d1kf6b2,group254,54292
d1a8ra_,group155,55620
d1kvoa_,group76,48619
d1k12a_,group52,49785
d1co6a_,group6,46626
d1n00a_,group49,47874
d1fjsa_,group126,50494
d1hc7a3,group145,64586
d1pbk__,group264,54534
d1hkya_,group184,57414
d1ll8a_,group159,55785
d1i52a_,group113,53448
d1fjeb2,group283,54928
d1jvwa_,group264,54534
d2sak__,group130,54328
d1quua1,group7,46966
d1quua2,group7,46966
d1k3ia1,group408,81296
d1bf6a_,group158,51556
d1b9wa1,group180,57196
d1dqwa_,group154,51366
d1izca_,group161,51621
d2cmd_2,group172,56327
d1zaka2,group196,57774
d1aono_,group111,50129
d1bhe__,group143,51126
d1k32a3,group72,69322
d1k32a2,group71,69304
d1k32a1,group60,50156
d1nkpa_,group22,47459
d1c9la2,group72,50989
d1hg8a_,group143,51126
d1i6aa_,group237,53850
d1ueka1,group129,54211
d1n1ea2,group82,51735
d1n1ea1,group39,48179
d1mc0a2,group313,55781
d1mc0a1,group159,55781
d1l9xa_,group90,52317
d1gg3a2,group131,50729
d1gg3a3,group251,54236
d1gg3a1,group19,47031
d1qfha1,group408,81296
d1b0xa_,group44,47769
d1gs9a_,group14,47162
d1qfea_,group159,51569
d1ilya_,group207,53137
d1qlwa_,group114,53474
d1cg5b_,group1,46458
d1h6ta2,group171,52058
d1iata_,group227,53697
d1laxa_,group120,53850
d1gci__,group192,52743
d1daaa_,group351,56752
d1jv4a_,group133,50814
d1bgxt1,group31,47807
d1tul__,group80,51289
d1ijva_,group183,57392
d1fcda2,group83,51905
d1fcda3,group150,55424
d1o7fa3,group147,51206
d1o7fa2,group147,51206
d1o7fa1,group4,46785
d2msta_,group283,54928
d1mxa_2,group327,55973
d1l6wa_,group159,51569
d1lcya1,group60,50156
d1iyjb5,group62,50249
d1hhsa_,group176,56672
d1qh4a2,group323,55931
d1hcna_,group187,57501
d1icxa_,group326,55961
d1tdj_1,group226,53686
d1duvg1,group115,53671
d1duvg2,group115,53671
d1bcg__,group362,57095
d1iru2_,group336,56235
d1lpba1,group364,57190
d1jsca2,group190,52518
d1jsca1,group187,52467
d1g4da_,group6,46955
d1lvoa_,group126,50494
d1l0oa_,group161,55874
d1i8da2,group396,63380
d1npia_,group362,57095
d1jr3d1,group37,48019
d1m98a2,group260,54427
d1ocrd_,group207,81406
d1kwma1,group209,53187
d1gyta1,group103,52949
d1kjqa2,group93,52440
d1kjqa1,group79,51246
d1fjgd_,group143,55174
d1ji6a1,group99,49785
d1ji6a2,group141,51096
d1ji6a3,group355,56849
d1mai__,group68,50729
d1rfna_,group126,50494
d1n62b1,group137,54665
d1m6ba2,group171,52058
d1m6ba3,group363,57184
d1m6ba4,group363,57184
d1k87a2,group81,51730
d1h3na2,group129,50677
d1iv3a_,group147,69765
d1fftc_,group413,81452
d1nkd__,group20,47380
d1fyhb1,group79,49265
d1gu3a_,group52,49785
d1nd6a_,group211,53254
d1opd__,group306,55594
d1utea_,group171,56300
d1ce3a_,group374,57467
d1bpv__,group79,49265
d1qi9a_,group66,48317
d1g3nc1,group52,47954
d8abp__,group119,53822
d1js1x2,group224,53671
d1f9ya_,group142,55083
d1m56c_,group413,81452
d1mtyd_,group15,47240
d1jb7a1,group62,50249
d1jb7a2,group62,50249
d1jb7a3,group62,50249
d1byi__,group97,52540
d1yaaa_,group215,53383
d1fjgn_,group194,57716
d1iioa_,group23,69025
d1el0a_,group245,54117
d1ckv__,group330,56029
d1kx5b_,group12,47113
d1qcfa1,group108,50044
d1ejba_,group174,52121
d1m5za_,group60,50156
d1jmxa2,group3,46626
d1epwa1,group105,49899
d1epwa2,group121,50386
d1mg8a_,group251,54236
d1m2ta_,group340,56371
d1ayoa_,group47,49410
d1fv5a_,group192,57667
d1klxa_,group42,81901
d1o14a_,group219,53613
d1pii_2,group154,51366
d1pii_1,group154,51366
d1f0za_,group253,54285
d1bhp__,group372,57429
d1jhja_,group52,49785
d1b67a_,group22,47113
d1ivsa3,group129,50677
d1ivsa2,group17,47323
d1ivsa1,group2,46589
d1ift__,group340,56371
d1dj7b_,group58,50090
d1ix9a2,group273,54719
d1ix9a1,group2,46609
d1ireb_,group109,50090
d1lm8b_,group251,54236
d1a9xb1,group85,52021
d1f7da_,group152,51283
d1hxmb1,group78,48726
d1boub_,group107,53213
d1a04a2,group176,52172
d1a04a1,group11,46894
d1tf3a2,group383,57667
d1m5xa_,group307,55608
d1et9a2,group256,54334
d1csh__,group64,48256
d1feha3,group278,54862
d1ofda1,group76,69336
d1yaca_,group189,52499
d1bvoa_,group89,49417
d1cot__,group6,46626
d1obza1,group112,50156
d1j9oa_,group245,54117
d1zaga2,group261,54452
d1ddf__,group36,47986
d1d4va2,group380,57586
d1qsaa2,group124,53955
d1rl6a2,group165,56053
d1rl6a1,group165,56053
d1i42a_,group130,54236
d1jgna_,group399,63570
d1nxia_,group142,89946
d1be9a_,group112,50156
d1tmf1_,group419,88633
d1knya2,group204,81301
d1eaxa_,group126,50494
d1ko9a1,group38,48150
d1ko9a2,group163,55945
d1jz8a3,group52,49785
d1jz8a2,group80,49303
d1jz8a1,group80,49303
d1m2da_,group101,52833
d1jz8a4,group56,74650
d1guta_,group118,50331
d1iz5a1,group164,55979
d1qj8a_,group179,56925
d1bio__,group126,50494
d1oe4a_,group89,52141
d1doza_,group118,53800
d1fw1a1,group38,47616
d1o0ya_,group159,51569
d1mh9a_,group177,56784
d1cdza_,group88,52113
d1mdc__,group133,50814
d1qsta_,group157,55729
d1i8da1,group396,63380
d1fj2a_,group114,53474
d1e25a_,group346,56601
d1bor__,group391,57850
d1ne5a_,group180,57095
d1f1sa3,group103,49863
d1lyxa_,group153,51351
d1k1ca_,group306,55594
d1mqva_,group23,47175
d1mzaa_,group126,50494
d1zug__,group33,47413
d1iqra2,group185,52425
d1iqra1,group59,48173
d1jmva_,group92,52402
d1nf3c_,group112,50156
d1iiba_,group99,52794
d1jiha_,group350,56672
d1kqpa_,group92,52402
d3kvt__,group271,54695
d1nkpb_,group34,47459
d1iz5a2,group164,55979
d1bu6o2,group106,53067
d1bu6o1,group106,53067
d1jkw_1,group35,47954
d1jj2u_,group2,46561
d1jkw_2,group35,47954
d1qlaa3,group342,56425
d1o1va_,group133,50814
d1eny__,group166,51735
d1iwda_,group242,54001
d1b4fa_,group31,47769
d1jfja_,group35,47473
d1ecfa1,group109,53271
d1ecfa2,group336,56235
d1hfua1,group49,49503
d1jj2z_,group196,57829
d1fjgk_,group207,53137
d1pmt_1,group38,47616
d1f2la_,group245,54117
d1iqca2,group3,46626
d1dzoa_,group263,54523
d1gr3a_,group102,49842
d1iqca1,group3,46626
d1cpza_,group285,55008
d1gy6a_,group260,54427
d7taa_1,group73,51011
d7taa_2,group157,51445
d1j2ya_,group180,52304
d1bhta2,group373,57440
d1muca1,group160,51604
d1b2pa_,group142,51110
d1ox0a1,group121,53901
d1ox0a2,group121,53901
d1edha2,group82,49313
d1lmia_,group46,81982
d1ju3a2,group114,53474
d1vola1,group52,47954
d1jl7a_,group1,46458
d1fura_,group75,48557
d2ilk__,group16,47266
d1idaa_,group128,50630
d1gen__,group135,50923
d1aba__,group101,52833
d1itha_,group1,46458
d1f08a_,group151,55464
d1m7ja3,group81,51556
d1gcya1,group73,51011
d1ei1a1,group129,54211
d1ei1a2,group161,55874
d1mpp__,group128,50630
d1j54a_,group106,53098
d1dxrm_,group415,81483
d1ofza_,group71,89372
d1n08a_,group64,82114
d1p6pa_,group133,50814
d1h0xa_,group145,82704
d3euga_,group89,52141
d1bgva2,group108,53223
d1qaua_,group60,50156
d1m1ga2,group110,50104
d1k3ya2,group101,52833
d1n7da7,group371,57424
d1lmja1,group180,57196
d1jnra1,group7,46977
d1lnsa1,group24,81761
d1ma1a2,group273,54719
d1buna_,group76,48619
d1rypj_,group336,56235
d1nfva_,group26,47240
d2pia_3,group254,54292
d1d6aa_,group340,56371
d1a0tp_,group359,56935
d3mbp__,group237,53850
d1c7qa_,group227,53697
d2fmr__,group140,54791
d1ig0a1,group78,63862
d1jkva_,group15,47240
d1gph11,group212,53271
d1gph12,group336,56235
d1fftb2,group205,81464
d1dih_2,group149,55347
d1leha2,group210,53223
d1dyr__,group218,53597
d1lb2b_,group31,47789
d1kcw_4,group92,49503
d1kcw_5,group92,49503
d1kcw_6,group92,49503
d1kcw_1,group49,49503
d1kcw_2,group49,49503
d1n7daa,group371,57424
d1fjge2,group274,54768
d1en2a2,group360,57016
d1quba2,group377,57535
d1quba1,group188,57535
d1ek6a_,group166,51735
d1quba4,group188,57535
d1kbaa_,group181,57302
d1o0pa_,group283,54928
d1joca1,group394,57903
d1bpya1,group31,47802
d1auua_,group59,50151
d1n2za_,group118,53807
d1fxkc_,group2,46579
d1d7pm_,group52,49785
d1noga_,group15,89028
d1gosa2,group131,54373
d1dcta_,group214,53335
d1nbwa1,group85,82317
d1nbwa3,group106,53067
d1hzpa1,group238,53901
d2prd__,group117,50324
d1kapp2,group152,55486
d1tf6a4,group383,57667
d1ncx__,group35,47473
d1bs0a_,group112,53383
d1ku0a_,group114,53474
d1jb7b_,group62,50249
d1dsza_,group194,57716
d1e4ia_,group157,51445
d1nn7a_,group271,54695
d1qg6a_,group166,51735
d1m2oa1,group34,81811
d1kkha1,group129,54211
d1o3ya_,group97,52540
d1i2oa_,group159,51569
d1eb7a1,group6,46626
d1rypa_,group169,56235
d1kkha2,group287,55060
d1cz1a_,group81,51445
d1qdda_,group175,56436
d1a7i_2,group385,57716
d1jcfa1,group205,53067
d1qjoa_,group148,51230
d1g47a2,group385,57716
d1g47a1,group194,57716
d1dxrc_,group45,48695
d1i7na2,group166,56059
d1d4ta_,group305,55550
d1l5wa_,group232,53756
d2aak__,group262,54495
d1sco__,group362,57095
d1d1qa_,group99,52788
d1g7oa2,group101,52833
d1g7oa1,group26,47616
d1d2sa_,group55,49899
d1uaqa_,group122,53927
d1ncs__,group192,57667
d1r69__,group33,47413
d1dv1a1,group79,51246
d1k4ta1,group2,46596
d1i19a2,group167,56176
d1fts_1,group14,47364
d1lj9a_,group4,46785
d1c3za_,group23,47565
d1ll7a2,group134,54556
d1qmga2,group82,51735
d1hwtc1,group384,57701
d1qmga1,group39,48179
d1exea_,group42,47729
d1ic8a2,group21,47413
d1k99a_,group11,47095
d1abrb1,group63,50370
d1j6za2,group106,53067
d1dnpa1,group59,48173
d1dnpa2,group185,52425
d1m56b2,group414,81464
d1e5ma1,group238,53901
d1e5ma2,group238,53901
d1m56b1,group92,49503
d1lo1a_,group385,57716
d1dyna_,group68,50729
d1tgsi_,group374,57467
d1e3ja2,group82,51735
d1m8aa_,group245,54117
d1pbua_,group142,89942
d1itva_,group135,50923
d4blma_,group346,56601
d1kv6a_,group72,48508
d1b08a1,group343,56436
d1a02n1,group408,81296
d1a02n2,group47,49417
d1h54a1,group40,48208
d1lf6a2,group56,74650
d1lf6a1,group40,48208
d1ntha_,group81,75098
d1cjxa1,group135,54593
d1tpla_,group215,53383
d1brwa1,group27,47648
d1brwa3,group137,54680
d1g40a1,group188,57535
d1g40a2,group377,57535
d1b16a_,group166,51735
d1g40a4,group377,57535
d1qcqa_,group262,54495
d1kx5a_,group12,47113
d1tbd__,group151,55464
d1iw7f1,group423,88659
d3tata_,group215,53383
d1iw7f3,group425,88946
d1eqka_,group258,54403
d1d3bb_,group113,50182
d1rblm_,group292,55239
d1akp__,group83,49319
d1n2sa_,group82,51735
d1kas_1,group238,53901
d1fiua_,group105,52980
d1bi7b_,group69,48403
d1c16a2,group261,54452
d1nvma2,group159,51569
d1nvma1,group5,89000
d1h16a_,group84,51998
d1ic6a_,group192,52743
d1ha4a_,group95,49695
d1prea1,group175,56436
d1tvxa_,group245,54117
d1dqna_,group212,53271
d1a9xa3,group93,52440
d1a9xa5,group166,56059
d1a9xa4,group186,52440
d1czsa_,group99,49785
d1a9xa6,group332,56059
d1cbg__,group157,51445
d2cro__,group21,47413
d1ld8a_,group42,48439
d1b06a2,group273,54719
d1b06a1,group5,46609
